Entry,Label
A6UQM3,2.7.7.1
A2SS82,2.7.7.1
A0B5N0,2.7.7.1
Q9UXN8,2.7.7.1
B0R328,2.7.7.1
Q09751,4.4.1.5
P16635,4.4.1.5
O49818,4.4.1.5
Q04760,4.4.1.5
Q55595,4.4.1.5
O74739,3.5.1.52
Q02890,3.5.1.52
Q6CAX5,3.5.1.52
Q9TW67,3.5.1.52
Q5WNE3,3.5.1.52
P31129,2.7.7.65
Q8ZNT5,2.7.7.65
A0A0H2Z7X0,2.7.7.65
P0DUE2,2.7.7.65
P77302,2.7.7.65
P44333,3.1.3.25
Q8K9P6,3.1.3.25
Q28CL4,3.1.3.25
Q05533,3.1.3.25
P46813,3.1.3.25
Q9WYK0,4.2.99.18
P0AB83,4.2.99.18
Q89AW4,4.2.99.18
P73715,4.2.99.18
Q58030,4.2.99.18
Q9PMD4,5.3.1.9
Q2S8W1,5.3.1.9
C4XST3,5.3.1.9
Q1QEK1,5.3.1.9
Q8RHH5,5.3.1.9
Q8X225,2.1.1.355
Q9U263,2.1.1.355
A0A1L7TZE5,2.1.1.355
Q9EQQ0,2.1.1.355
Q6NRE8,2.1.1.355
Q9X1G3,2.7.7.101
Q9PM37,2.7.7.101
P50070,2.7.7.101
O83505,2.7.7.101
P52308,2.7.7.101
Q2RPU7,2.7.1.39
A6U6V4,2.7.1.39
Q0AHY7,2.7.1.39
A4G1V8,2.7.1.39
P29364,2.7.1.39
Q59266,2.4.1.25
Q69Q02,2.4.1.25
O84089,2.4.1.25
P45176,2.4.1.25
O87172,2.4.1.25
O94412,2.5.1.60
Q9FJ32,2.5.1.60
Q55DQ4,2.5.1.60
Q08602,2.5.1.60
Q00618,2.5.1.60
Q6DBD7,3.5.1.23
Q9VIP7,3.5.1.23
O45145,3.5.1.23
O45686,3.5.1.23
Q09551,3.5.1.23
Q8PZ69,2.7.4.3
A6UW35,2.7.4.3
A3CT21,2.7.4.3
Q8ZWP7,2.7.4.3
Q9UX83,2.7.4.3
Q4J8L6,7.1.2.2
P08746,7.1.2.2
P14571,7.1.2.2
P62019,7.1.2.2
P38462,7.1.2.2
A7MMC7,1.8.1.8
Q9JTL9,1.8.1.8
Q7MZX2,1.8.1.8
Q5HVG7,1.8.1.8
A6TH46,1.8.1.8
P25180,3.2.1.18
P12555,3.2.1.18
P21526,3.2.1.18
P25465,3.2.1.18
P04850,3.2.1.18
Q9SLD2,2.3.1.20
Q75BY0,2.3.1.20
O74850,2.3.1.20
Q9ASU1,2.3.1.20
Q5I396,2.3.1.20
A0AG13,3.6.1.31
Q3IU57,3.6.1.31
Q2SN16,3.6.1.31
A4XPM3,3.6.1.31
B0UHR4,3.6.1.31
P95931,3.1.3.18
Q9YE03,3.1.3.18
Q9HLQ2,3.1.3.18
P40852,3.1.3.18
Q5JDB7,3.1.3.18
P11045,1.5.1.3
Q89AV2,1.5.1.3
P17719,1.5.1.3
O62583,1.5.1.3
Q9PR30,1.5.1.3
Q59601,2.3.1.51
Q06508,2.3.1.51
O22975,2.3.1.51
Q9US27,2.3.1.51
O15120,2.3.1.51
Q68EL2,3.1.1.96
B2V7S8,3.1.1.96
A6LTN7,3.1.1.96
A1T099,3.1.1.96
B8DHM6,3.1.1.96
Q7SYI5,2.4.1.122
Q08BL3,2.4.1.122
Q18515,2.4.1.122
Q7K237,2.4.1.122
Q6GNL1,2.4.1.122
P09938,1.17.4.1
P28847,1.17.4.1
P42521,1.17.4.1
P36603,1.17.4.1
Q66662,1.17.4.1
Q0A4T1,2.7.8.26
Q55714,2.7.8.26
A4XT57,2.7.8.26
A7IB66,2.7.8.26
A1SJN0,2.7.8.26
Q9A871,4.1.1.31
Q3IBX6,4.1.1.31
A1SRH8,4.1.1.31
A7NLR3,4.1.1.31
Q7MH68,4.1.1.31
Q46800,1.17.1.4
O32145,1.17.1.4
Q54FB7,1.17.1.4
P08793,1.17.1.4
O32143,1.17.1.4
Q9KUH2,7.2.4.2
Q9KTU4,7.2.4.2
Q65WL3,7.2.4.2
Q9RF98,7.2.4.2
Q03032,7.2.4.2
Q9FJ79,5.6.2.1
Q54RC3,5.6.2.1
O17966,5.6.2.1
Q00313,5.6.2.1
P30189,5.6.2.1
A8FRV0,3.6.1.41
B8F4P0,3.6.1.41
A1JJF2,3.6.1.41
Q0AC59,3.6.1.41
Q88A48,3.6.1.41
P87168,3.1.26.11
Q8TWK0,3.1.26.11
Q89NF8,3.1.26.11
P36159,3.1.26.11
Q47PQ7,3.1.26.11
Q9VHH9,1.14.11.27
P0CO40,1.14.11.27
Q640I9,1.14.11.27
Q6BXJ4,1.14.11.27
Q5AW75,1.14.11.27
A0LH38,2.7.7.4
Q0ALV0,2.7.7.4
A4YYA7,2.7.7.4
Q0C438,2.7.7.4
A2BMW0,2.7.7.4
B7VB62,3.1.26.4
A0Q6W0,3.1.26.4
A5FZ26,3.1.26.4
A1KV38,3.1.26.4
Q1H190,3.1.26.4
Q9HRF0,1.1.1.169
Q929X1,1.1.1.169
P0DC92,1.1.1.169
Q8ZC51,1.1.1.169
Q9KPQ9,1.1.1.169
Q9W3U1,2.1.1.85
Q9UTQ8,2.1.1.85
Q55DL2,2.1.1.85
P40481,2.1.1.85
Q2KIJ2,2.1.1.85
Q68KK0,3.1.1.32
P18952,3.1.1.32
P0DSI2,3.1.1.32
Q6Q252,3.1.1.32
P0DX85,3.1.1.32
Q6F9F5,1.5.1.36
O06835,1.5.1.36
S4S3E3,1.5.1.36
Q0S808,1.5.1.36
Q8RQP9,1.5.1.36
O14192,2.6.1.57
Q86AG8,2.6.1.57
H3ZPL1,2.6.1.57
O94570,2.6.1.57
Q9Y7S6,2.6.1.57
D4B5H9,3.2.1.28
D1L2Y9,3.2.1.28
P78617,3.2.1.28
Q5AAU5,3.2.1.28
N1P212,3.2.1.28
C5FHK0,3.4.14.10
C5FBW2,3.4.14.10
Q4WGU1,3.4.14.10
Q70GH4,3.4.14.10
Q4WQU0,3.4.14.10
Q07703,4.4.1.13
A2RM21,4.4.1.13
P53780,4.4.1.13
P18949,4.4.1.13
Q4L332,4.4.1.13
Q01128,5.3.1.24
A3DDS6,5.3.1.24
Q875I3,5.3.1.24
O13504,5.3.1.24
P43073,5.3.1.24
P96188,2.1.1.72
P08957,2.1.1.72
P43641,2.1.1.72
P25240,2.1.1.72
Q57596,2.1.1.72
Q8K912,1.1.1.17
C4L274,1.1.1.17
Q88ZS1,1.1.1.17
A7Z1E8,1.1.1.17
Q98PH2,1.1.1.17
P0DW59,3.2.2.5
Q9I739,3.2.2.5
A0A5B8Z1N3,3.2.2.5
O05442,3.2.2.5
A0A1V0HUU2,3.2.2.5
Q8D2H8,5.1.1.1
Q2P7U1,5.1.1.1
Q8ELK1,5.1.1.1
Q1IYK9,5.1.1.1
Q9RER4,5.1.1.1
P42176,1.7.5.1
P0AF32,1.7.5.1
P19318,1.7.5.1
P42177,1.7.5.1
I3R9M8,1.7.5.1
O54031,7.2.4.3
O54029,7.2.4.3
Q56724,7.2.4.3
Q57490,7.2.4.3
O54030,7.2.4.3
A1VIL5,2.4.2.10
Q3J6V6,2.4.2.10
Q3SM42,2.4.2.10
B8FNN4,2.4.2.10
P08309,2.4.2.10
P35150,3.4.16.4
Q86I79,3.4.16.4
P77619,3.4.16.4
P39042,3.4.16.4
P39045,3.4.16.4
P08075,2.7.7.24
P95778,2.7.7.24
Q9RR29,2.7.7.24
P55464,2.7.7.24
P61887,2.7.7.24
Q56002,2.3.1.30
P77985,2.3.1.30
Q10QH1,2.3.1.30
Q39218,2.3.1.30
P23145,2.3.1.30
Q0AIM3,2.3.1.46
C5BLJ8,2.3.1.46
A9I0E6,2.3.1.46
Q31EJ2,2.3.1.46
B3PFK3,2.3.1.46
P55394,2.3.1.184
P52989,2.3.1.184
P54291,2.3.1.184
Q46968,2.3.1.184
O87970,2.3.1.184
Q48943,1.2.7.12
O27002,1.2.7.12
Q58571,1.2.7.12
P61154,1.2.7.12
P0CW42,1.2.7.12
P94364,7.1.1.7
P94365,7.1.1.7
P0ABJ9,7.1.1.7
Q09049,7.1.1.7
